Scheme Code,Scheme Name,CAGR_3Y,Sharpe_Ratio,Alpha,Expense_Ratio,Maximum_Drawdown,CAGR_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,CAGR_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score,Overall_Rank
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,,,,1.2,,,,,111.0,,,,,54.356846473029044,,,113
151107,HSBC Banking and PSU Debt Fund - Direct Growth,,,,0.5,,,,,41.0,,,,,83.40248962655602,,,114
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,,,,2.26,,,,,217.0,,,,,10.37344398340249,,,115
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,,,,2.27,,,,,218.0,,,,,9.95850622406639,,,116
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,,,,1.39,,,,,130.0,,,,,46.47302904564315,,,117
151104,HSBC Banking and PSU Debt Fund - Regular Growth,,,,0.11,,,,,2.0,,,,,99.5850622406639,,,118
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,,,,2.32,,,,,223.0,,,,,7.883817427385892,,,119
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,,,,0.26,,,,,17.0,,,,,93.3609958506224,,,120
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,,,,0.55,,,,,46.0,,,,,81.32780082987551,,,121
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,,,,1.28,,,,,119.0,,,,,51.037344398340245,,,122
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,,,,0.78,,,,,69.0,,,,,71.78423236514523,,,123
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,,,,2.11,,,,,202.0,,,,,16.59751037344398,,,124
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,,,,1.71,,,,,162.0,,,,,33.19502074688796,,,125
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,,,,0.13,,,,,4.0,,,,,98.7551867219917,,,126
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,,,,1.29,,,,,120.0,,,,,50.62240663900415,,,127
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,,,,1.96,,,,,187.0,,,,,22.821576763485478,,,128
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,,,,0.49,,,,,40.0,,,,,83.81742738589212,,,129
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,,,,1.22,,,,,113.0,,,,,53.52697095435685,,,130
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,,,,1.01,,,,,92.0,,,,,62.24066390041494,,,131
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,,,,1.78,,,,,169.0,,,,,30.29045643153527,,,132
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,,,,0.4,,,,,31.0,,,,,87.55186721991701,,,133
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,,,,1.17,,,,,108.0,,,,,55.601659751037346,,,134
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,,,,0.91,,,,,82.0,,,,,66.39004149377593,,,135
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,,,,1.65,,,,,156.0,,,,,35.684647302904565,,,136
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),,,,0.72,,,,,63.0,,,,,74.27385892116183,,,137
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),,,,0.69,,,,,60.0,,,,,75.51867219917013,,,138
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),,,,0.48,,,,,39.0,,,,,84.23236514522821,,,139
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,,,,1.04,,,,,95.0,,,,,60.99585062240664,,,140
118233,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),,,,1.98,,,,,189.0,,,,,21.991701244813278,,,141
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,,,,0.9,,,,,81.0,,,,,66.80497925311202,,,142
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,,,,2.21,,,,,212.0,,,,,12.448132780082988,,,143
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,,,,0.56,,,,,47.0,,,,,80.91286307053942,,,144
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,,,,1.64,,,,,155.0,,,,,36.09958506224066,,,145
123690,Kotak Banking and PSU Debt - Growth,,,,1.86,,,,,177.0,,,,,26.970954356846473,,,146
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,,,,2.15,,,,,206.0,,,,,14.937759336099585,,,147
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,,,,1.38,,,,,129.0,,,,,46.88796680497925,,,148
123693,Kotak Banking and PSU Debt Direct - Growth,,,,0.53,,,,,44.0,,,,,82.15767634854771,,,149
